Keyword,Title,Company,Location,Job Description,Salary,Link
인공지능,[딥브레인AI] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원),(주)딥브레인에이아이,서울강남구경력무관석사↑정규직,"딥러닝,알고리즘,Python,머신러닝,빅데이터외등록일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416902&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,주식회사 메테오바이오텍 AI 이미지 분석 연구원 모집,(주)메테오바이오텍,서울관악구경력무관학력무관계약직,"연구원,R&D,생명과학,세포배양,의료기기연구외수정일 24/11/29",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49316741&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b29b91fc-2116-41e2-ac4f-0cf8c13daa4c
인공지능,AI연구소-컴퓨터 비전 AI연구원 (흉부 X-Ray),(주)딥노이드,서울구로구경력3년↑석사↑정규직,"AI(인공지능),알고리즘,컴퓨터비전,Docker,소프트웨어개발수정일 24/10/11",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49169692&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b8473ba4-b824-4079-86ae-a6381195fb6b
인공지능,[AI연구팀]NLP딥러닝 엔지니어,텔레픽스(주),서울영등포구경력2년↑학력무관정규직,"AI(인공지능),알고리즘,Python,빅데이터,영상처리외수정일 24/10/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49284344&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b8473ba4-b824-4079-86ae-a6381195fb6b
인공지능,연구소 AI팀 개발 팀장급 채용,(주)위키드스톰,서울강서구경력 10~15년대졸↑정규직,"AI(인공지능),Python,머신러닝,솔루션,빅데이터외수정일 24/11/25",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49224085&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b8473ba4-b824-4079-86ae-a6381195fb6b
인공지능,Artificial Intelligence(AI) engineering (병역특례/전문연구요원 우대),(주)아론티어,서울전체경력 2~10년석사↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/22",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455285&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=b8473ba4-b824-4079-86ae-a6381195fb6b
인공지능,[AI기반 신약개발기업]항암신약개발 약리연구원(박사/PL급) 채용,(주)브이비젼,서울강남구경력10년↑박사정규직,"AI(인공지능),연구원,R&D,약사,제약QA외수정일 24/11/27",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477842&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,[AI 전문회사/ 서울시 강남구] R&D 연구소장(CTO),에이치알제이(HRJ),서울강남구경력10년↑석사↑정규직,"AI(인공지능),AI(인공지능),딥러닝,R&D,머신러닝외수정일 24/11/17",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49414561&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,AI 개발(STT/LLM 모델 연구 및 개발),(주)넥서스커뮤니티,서울전체경력 7~15년대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/20",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439912&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,[연구 개발] DBMS Cloud AI 전문가 채용,(주)알티베이스,서울구로구경력무관학력무관정규직,"AI(인공지능),연구원,R&D,R&D기획,기술연구외등록일 24/10/07",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49144916&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,(주) 벨로크 기업부설연구소 경력사원 모집(AI 영상분석),주식회사 벨로크,서울금천구경력 5~10년대졸↑정규직,"AI(인공지능),알고리즘,Python,연구원,유지보수외수정일 24/11/28",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49375617&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,"생성형 AI 모델 연구 및 응용개발(AI, ML)",(주)엑스큐어넷,서울은평구경력 3~15년초대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,C++외등록일 24/11/08",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49366228&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,AI 정부연구과제 개발 및 진행(연구소장),(주)한국정보공작소,서울금천구경력9년↑대졸↑정규직,"AI(인공지능),Python,머신러닝,빅데이터,IoT외등록일 24/11/01",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319424&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,AI 연구원 및 개발자 모집,(주)델타엑스,서울구로구경력5년↑대졸↑정규직,"AI(인공지능),딥러닝,알고리즘,Python,머신러닝외등록일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416750&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,"[생성AI]LLM, DIffusion 석사 연구원 채용",(주)유어라운드,서울강남구신입·경력석사↑정규직·계약직,"AI(인공지능),AI(인공지능),Python,연구원,솔루션외등록일 24/11/25",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49466407&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=7d15a6f4-27cb-439f-89ce-a01c71cd628a
인공지능,코스닥 상장사에서 AI연구소장을 채용합니다.,(주)휴먼트리월드와이드,서울용산구경력8년↑학력무관정규직,"AI(인공지능),솔루션업체,소프트웨어개발등록일 24/11/25",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462175&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=cacdfacb-2bad-4b8a-9294-5cfb744a7001
인공지능,(주)아이스크림아츠트 AI연구소 AI기반연구팀 팀장/팀원(경력),(주)아이스크림아트,서울강남구경력 5~10년대졸↑정규직,"AI(인공지능),AI(인공지능),딥러닝,Python,머신러닝외수정일 24/11/25",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467513&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=cacdfacb-2bad-4b8a-9294-5cfb744a7001
인공지능,AI 연구원 [국내 유망 바이오],워크맨그룹 주식회사,서울강남구경력4년↑학력무관정규직,"AI(인공지능),AI(인공지능),연구원,Flask,Pytorch외등록일 24/11/20",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440282&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=cacdfacb-2bad-4b8a-9294-5cfb744a7001
인공지능,[국내AI기업] 딥러닝(영상/음성) 연구원,토니서치,서울강남구경력무관석사↑정규직,"AI(인공지능),AI(인공지능),딥러닝,연구원,TTS외등록일 24/11/18",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49415763&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=cacdfacb-2bad-4b8a-9294-5cfb744a7001
인공지능,(전문연구요원 가능) AI 컴파일러 엔지니어 채용 공고,(주)에너자이,서울강남구경력무관고졸↑정규직·전문연구요원,"AI(인공지능),딥러닝,C++,C언어,Pytorch외등록일 24/11/20",N/A,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440536&location=ts&searchword=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&searchType=search&paid_fl=n&search_uuid=cacdfacb-2bad-4b8a-9294-5cfb744a7001
